atl_food_place_id,atl_food_place_title,menu_item_id,title,calories,protein_g,carbs_g,fat_g,cholesterol_mg,sodium_mg,nutrition_score
2,Gusto! Healthy Bowls & Wraps (West End),104,Queso Verde Queso | Mixed Greens| Halfed Avocado,201.0,3.0,17.0,14.0,5.0,339.0,2.42
2,Gusto! Healthy Bowls & Wraps (West End),98,Queso Verde Queso| Flat Bread Wrap| Umami Tofu,515.0,18.5,48.0,13.0,32.5,2125.0,2.41
2,Gusto! Healthy Bowls & Wraps (West End),53,Tahini Cucumber Feta | Half & Half | Grilled Spicy Chicken,561.0,51.0,43.0,22.0,190.0,1741.0,2.39
2,Gusto! Healthy Bowls & Wraps (West End),124,Sweet Soy Sriracha | Mixed Greens| Halfed Avocado,230.0,4.0,19.0,17.0,3.0,341.0,2.38
2,Gusto! Healthy Bowls & Wraps (West End),49,Tahini Cucumber Feta | Half & Half | Grilled Chicken,561.0,50.0,41.0,23.0,190.0,1660.0,2.38
2,Gusto! Healthy Bowls & Wraps (West End),173,Lemon Pepper Ranch  | Half & Half | Grilled Spicy Chicken,541.0,45.0,40.0,25.0,170.0,1346.0,2.36
2,Gusto! Healthy Bowls & Wraps (West End),164,Polynesian Chili Mango  | Mixed Greens| Halfed Avocado,296.0,5.0,23.0,22.0,0.0,249.0,2.35
2,Gusto! Healthy Bowls & Wraps (West End),58,Tahini Cucumber Feta | Flat Bread Wrap| Umami Tofu,637.0,22.5,59.5,20.5,20.0,2371.5,2.35
2,Gusto! Healthy Bowls & Wraps (West End),169,Lemon Pepper Ranch  | Half & Half | Grilled Chicken,541.0,44.0,38.0,26.0,170.0,1265.0,2.34
2,Gusto! Healthy Bowls & Wraps (West End),118,Sweet Soy Sriracha | Flat Bread Wrap| Umami Tofu,519.5,15.5,67.0,7.0,3.0,2212.5,2.32
2,Gusto! Healthy Bowls & Wraps (West End),114,Sweet Soy Sriracha | Flat Bread Wrap | Grilled Spicy Chicken,639.5,53.5,67.0,15.0,173.0,2473.5,2.32
2,Gusto! Healthy Bowls & Wraps (West End),142,Ginger Lime Peanut | Flat Bread Wrap |Grilled Shrimp,565.0,31.5,52.5,22.0,143.0,2335.5,2.32
2,Gusto! Healthy Bowls & Wraps (West End),110,Sweet Soy Sriracha | Flat Bread Wrap |Grilled Chicken,639.5,52.5,65.0,16.0,173.0,2392.5,2.31
2,Gusto! Healthy Bowls & Wraps (West End),41,Curry Apple Pecan | Half & Half | Grilled Shrimp,447.0,22.0,43.0,22.0,143.0,1745.0,2.3
2,Gusto! Healthy Bowls & Wraps (West End),94,Queso Verde Queso | Flat Bread Wrap | Grilled Spicy Chicken,635.0,56.5,48.0,21.0,202.5,2386.0,2.3
2,Gusto! Healthy Bowls & Wraps (West End),96,Queso Verde Queso | Mixed Greens| Umami Tofu,214.0,5.0,16.0,4.0,5.0,979.0,2.3
2,Gusto! Healthy Bowls & Wraps (West End),56,Tahini Cucumber Feta | Mixed Greens| Umami Tofu,359.0,12.0,24.0,14.0,20.0,1379.0,2.29
2,Gusto! Healthy Bowls & Wraps (West End),90,Queso Verde Queso | Flat Bread Wrap |Grilled Chicken,635.0,55.5,46.0,22.0,202.5,2305.0,2.29
2,Gusto! Healthy Bowls & Wraps (West End),181,Lemon Pepper Ranch  | Half & Half | Grilled Shrimp,401.0,20.0,38.0,20.0,143.0,1565.0,2.28
2,Gusto! Healthy Bowls & Wraps (West End),136,Ginger Lime Peanut | Mixed Greens| Umami Tofu,283.0,8.0,17.0,11.0,0.0,921.0,2.28
2,Gusto! Healthy Bowls & Wraps (West End),138,Ginger Lime Peanut | Flat Bread Wrap| Umami Tofu,585.0,18.5,54.5,19.0,0.0,1855.5,2.27
2,Gusto! Healthy Bowls & Wraps (West End),116,Sweet Soy Sriracha | Mixed Greens| Umami Tofu,243.0,6.0,18.0,7.0,3.0,981.0,2.26
2,Gusto! Healthy Bowls & Wraps (West End),81,Chipotle Mango Avocado | Half & Half | Grilled Shrimp,556.0,28.0,64.0,22.0,156.0,1861.0,2.26
2,Gusto! Healthy Bowls & Wraps (West End),99,Queso Verde Queso | Brown Rice | Grilled Shrimp,565.0,28.0,52.0,25.0,203.0,2510.0,2.25
2,Gusto! Healthy Bowls & Wraps (West End),158,Polynesian Chili Mango  | Flat Bread Wrap| Umami Tofu,550.0,16.0,63.0,12.0,0.0,1685.0,2.24
2,Gusto! Healthy Bowls & Wraps (West End),33,Curry Apple Pecan | Half & Half | Grilled Spicy Chicken,587.0,47.0,45.0,27.0,170.0,1526.0,2.23
2,Gusto! Healthy Bowls & Wraps (West End),145,Ginger Lime Peanut | Half & Half | Halfed Avocado,352.0,7.0,37.0,21.0,0.0,382.0,2.22
2,Gusto! Healthy Bowls & Wraps (West End),29,Curry Apple Pecan | Half & Half | Grilled Chicken,587.0,46.0,43.0,28.0,170.0,1445.0,2.22
2,Gusto! Healthy Bowls & Wraps (West End),154,Polynesian Chili Mango  | Flat Bread Wrap | Grilled Spicy Chicken,670.0,54.0,63.0,20.0,170.0,1946.0,2.2
2,Gusto! Healthy Bowls & Wraps (West End),62,Tahini Cucumber Feta | Flat Bread Wrap |Grilled Shrimp,617.0,35.5,57.5,23.5,163.0,2851.5,2.2
2,Gusto! Healthy Bowls & Wraps (West End),72,Chipotle Mango Avocado | Mixed Greens| Grilled Spicy Chicken,614.0,52.0,47.0,27.0,183.0,1541.0,2.19
2,Gusto! Healthy Bowls & Wraps (West End),68,Chipotle Mango Avocado | Mixed Greens| Grilled Chicken,614.0,51.0,45.0,28.0,183.0,1460.0,2.18
2,Gusto! Healthy Bowls & Wraps (West End),150,Polynesian Chili Mango  | Flat Bread Wrap |Grilled Chicken,670.0,53.0,61.0,21.0,170.0,1865.0,2.18
